category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file,*تنويه هام,book_index,cat_index,أعده للشاملة,اعتنى به,البحث في,الرابط,الكتاب,النص,بحث في محتوى الكتب,تنبيهات هامة,شرح وتحقيق,شعر,عني بتحقيقه وشرحه,لدعم المشروع*,نبذة عن المشروع,نتائج البحث
العروض_والقوافي,العروض,6917,,,,,101,partial,11-06-2026 19:30:18 IST,,https://shamela.ws/book/6917,shamela_output/العروض_والقوافي/العروض.txt,,,,,,,,,,,,,,,,,
العروض_والقوافي,القوافي للأخفش الأوسط,737,,,,,18,partial,11-06-2026 19:30:18 IST,,https://shamela.ws/book/737,shamela_output/العروض_والقوافي/القوافي_للأخفش_الأوسط.txt,,,,,,,,,,,,,,,,,
العروض_والقوافي,القوافي للتنوخي,10911,,,,,27,partial,11-06-2026 19:30:18 IST,,https://shamela.ws/book/10911,shamela_output/العروض_والقوافي/القوافي_للتنوخي.txt,,,,,,,,,,,,,,,,,
