category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file,*تنويه هام,book_index,cat_index,أعده للشاملة,البحث في,الرابط,الكتاب,المحقق,النص,بحث في محتوى الكتب,تحقيق,تنبيهات هامة,حققه وقدم له وعلق عليه,سنة الطبع,صفحة المؤلف,عام النشر,عدد الأجزاء,لدعم المشروع*,نبذة عن المشروع,نتائج البحث
الطب,الحاوي في الطب,10704,,,,,12,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/10704,shamela_output/الطب/الحاوي_في_الطب.txt,,,,,,,,,,,,,,,,,,,,
الطب,الشامل في الصناعة الطبية,240,,,,,449,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/240,shamela_output/الطب/الشامل_في_الصناعة_الطبية.txt,,,,,,,,,,,,,,,,,,,,
الطب,الطب النبوي لابن القيم,23649,,,,,318,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/23649,shamela_output/الطب/الطب_النبوي_لابن_القيم.txt,,,,,,,,,,,,,,,,,,,,
الطب,العلاج بالأعشاب,10705,,,,,113,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/10705,shamela_output/الطب/العلاج_بالأعشاب.txt,,,,,,,,,,,,,,,,,,,,
الطب,القانون في الطب,10706,,,,,505,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/10706,shamela_output/الطب/القانون_في_الطب.txt,,,,,,,,,,,,,,,,,,,,
الطب,تاريخ البيمارستانات في الإسلام,36083,,,,,2,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/36083,shamela_output/الطب/تاريخ_البيمارستانات_في_الإسلام.txt,,,,,,,,,,,,,,,,,,,,
الطب,شرح تشريح القانون لابن سينا,802,,,,,179,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/802,shamela_output/الطب/شرح_تشريح_القانون_لابن_سينا.txt,,,,,,,,,,,,,,,,,,,,
الطب,ما يفعله الأطباء والداعون بدفع شر الطاعون,17414,,,,,19,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/17414,shamela_output/الطب/ما_يفعله_الأطباء_والداعون_بدفع_شر_الطاعون.txt,,,,,,,,,,,,,,,,,,,,
الطب,نمو الإنسان من مرحلة الجنين إلى مرحلة المسنين,11738,,,,,116,partial,11-06-2026 20:13:01 IST,,https://shamela.ws/book/11738,shamela_output/الطب/نمو_الإنسان_من_مرحلة_الجنين_إلى_مرحلة_المسنين.txt,,,,,,,,,,,,,,,,,,,,
