category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file,*تنويه هام,book_index,cat_index,أعده للشاملة,أعده للمكتبة الشاملة,البحث في,الرابط,الكتاب,المترجم,النص,بحث في محتوى الكتب,ترجمة,تصدير,تقديم,تنبيه,تنبيهات هامة,عام النشر,لخصها ونقلها إلى اللغة العربية,لدعم المشروع*,نبذة عن المشروع,نتائج البحث,وصوّر «مجموع الرسائل»
النحو_والصرف,الجمل في النحو,6961,,,,,278,partial,11-06-2026 20:16:32 IST,,https://shamela.ws/book/6961,shamela_output/النحو_والصرف/الجمل_في_النحو.txt,,,,,,,,,,,,,,,,,,,,,,
النحو_والصرف,الكتاب لسيبويه,23018,,,,,3313,partial,11-06-2026 20:16:32 IST,,https://shamela.ws/book/23018,shamela_output/النحو_والصرف/الكتاب_لسيبويه.txt,,,,,,,,,,,,,,,,,,,,,,
