category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file,*تنويه هام,book_index,cat_index,أعده للشاملة,اعتنى به,البحث في,الرابط,الكتاب,المحقق,النص,بحث في محتوى الكتب,تحقيق,تنبيهات هامة,رواية,شرح وتحقيق,شعر,صنعه,عام النشر,عني بتحقيقه وشرحه,قدم له ووضع هوامشه,لدعم المشروع*,نبذة عن المشروع,نتائج البحث
الطب,الحاوي في الطب,10704,,,,,12,partial,11-06-2026 19:43:46 IST,,https://shamela.ws/book/10704,shamela_output/الطب/الحاوي_في_الطب.txt,,,,,,,,,,,,,,,,,,,,,,,
الطب,الشامل في الصناعة الطبية,240,,,,,86,partial,11-06-2026 19:43:46 IST,,https://shamela.ws/book/240,shamela_output/الطب/الشامل_في_الصناعة_الطبية.txt,,,,,,,,,,,,,,,,,,,,,,,
الطب,العلاج بالأعشاب,10705,,,,,113,partial,11-06-2026 19:43:46 IST,,https://shamela.ws/book/10705,shamela_output/الطب/العلاج_بالأعشاب.txt,,,,,,,,,,,,,,,,,,,,,,,
الطب,القانون في الطب,10706,,,,,505,partial,11-06-2026 19:43:46 IST,,https://shamela.ws/book/10706,shamela_output/الطب/القانون_في_الطب.txt,,,,,,,,,,,,,,,,,,,,,,,
