category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file
العقيدة,الفقه الأكبر,6388,,,,,92,partial,17-06-2026 14:41:07 IST,,https://shamela.ws/book/6388,shamela_output/العقيدة/الفقه_الأكبر.txt
العقيدة,كتاب الأصنام,6513,,,,,57,partial,17-06-2026 14:41:07 IST,,https://shamela.ws/book/6513,shamela_output/العقيدة/كتاب_الأصنام.txt
