category,book,book_id,author,publisher,edition,total_pages,pages_scraped,status,scraped_at,topics,url,file
التجويد_والقراءات,المبسوط في القراءات العشر,36104,,,,,74,partial,11-06-2026 18:08:48 IST,,https://shamela.ws/book/36104,shamela_output/التجويد_والقراءات/المبسوط_في_القراءات_العشر.txt
التجويد_والقراءات,الوقف والابتداء في كتاب الله عز وجل,17843,,,,,32,partial,11-06-2026 18:08:48 IST,,https://shamela.ws/book/17843,shamela_output/التجويد_والقراءات/الوقف_والابتداء_في_كتاب_الله_عز_وجل.txt
التجويد_والقراءات,مشتبهات القرآن,29986,,,,,148,partial,11-06-2026 18:08:48 IST,,https://shamela.ws/book/29986,shamela_output/التجويد_والقراءات/مشتبهات_القرآن.txt
